PointOrder,Latitude,Longitude
1,51.206667,103.308333
2,51.218889,103.257222
3,51.218889,103.257222
4,51.227778,103.257222
5,51.222222,103.311667
6,51.225000,103.335000
7,51.213611,103.408333
8,51.313333,103.341667
9,51.312222,103.435833
10,51.369167,103.423333
11,51.437778,103.349167
12,51.470000,103.388333
13,51.452778,103.431667
14,51.484722,103.586389
15,51.484722,103.612500
16,51.632500,103.662222
17,51.705000,103.683889
18,51.717222,103.615556
19,51.707778,103.564444
20,51.733056,103.562222
21,51.739722,103.628333
22,51.785278,103.675000
23,51.812500,103.670556
24,51.785278,103.736111
25,51.630278,103.818056
26,51.809167,103.913611
27,51.826667,103.913056
28,51.843333,103.943889
29,51.855556,103.977222
30,51.855556,103.961389
31,51.865000,103.953056
32,51.861111,103.962778
33,51.865833,103.968056
34,51.933611,104.115833
35,51.931389,104.148611
36,51.968611,104.151389
37,51.968611,104.163889
38,51.945556,104.238333
39,51.936111,104.234722
40,51.955556,104.253611
41,51.943333,104.433611
42,51.923889,104.434167
43,51.912500,104.462500
44,51.925556,104.498333
45,51.915833,104.511667
46,51.922500,104.556111
47,51.917500,104.582778
48,51.932500,104.596111
49,51.925000,104.612778
50,51.908333,104.661111
51,51.979167,104.687222
52,52.014444,104.729444
53,52.019167,104.754722
54,52.025556,104.809722
55,52.034444,104.822778
56,52.038333,104.840000
57,52.041667,104.807778
58,52.042778,104.806111
59,52.055000,104.875000
60,52.113889,104.906944
61,52.171667,104.908056
62,52.173333,104.987222
63,52.170000,104.990000
64,52.187222,104.990000
65,52.187222,104.990000
66,52.179444,104.984722
67,52.170000,104.990000
68,52.184722,104.987222
69,52.187222,105.057500
70,52.187222,105.107500
71,52.187222,105.107500
72,52.187222,105.107500
73,52.179444,105.042500
74,52.204444,105.105278
75,52.270278,105.113056
76,52.306111,105.234167
77,52.405556,105.531944
78,52.615556,105.778611
79,52.865556,105.944167
80,52.864444,106.072778
81,52.930278,106.043889
82,52.958056,106.139444
83,52.985556,106.038333
84,53.024444,106.039444
85,53.024444,106.039444
86,53.014444,106.039444
87,53.024444,106.039444
88,53.003611,106.038889
89,53.022222,106.022222
90,53.022222,106.017222
91,53.071667,106.193611
92,53.020833,106.225833
93,53.108333,106.372778
94,53.170000,106.553333
95,53.186111,106.602778
96,53.272222,106.561111
97,53.271667,106.603333
98,53.255556,106.665556
99,53.296944,106.728333
100,53.285000,106.683889
101,53.301111,106.734167
102,53.272222,106.905833
103,53.287500,106.980000
104,53.287222,106.961111
105,53.282222,106.946111
106,53.279444,106.964167
107,53.309444,107.036667
108,53.262500,107.086111
109,53.287500,107.121111
110,53.268611,107.253611
111,53.268611,107.270556
112,53.278611,107.286111
113,53.278611,107.286111
114,53.279722,107.296944
115,53.285000,107.298333
116,53.284722,107.303056
117,53.288333,107.303889
118,53.290278,107.286111
119,53.290278,107.286944
120,53.296111,107.289722
121,53.298333,107.288611
122,53.298611,107.288333
123,53.298611,107.288333
124,53.298611,107.288333
125,53.297500,107.288889
126,53.292222,107.287500
127,53.291944,107.279167
128,53.290833,107.287500
129,53.292500,107.303889
130,53.292500,107.312500
131,53.292500,107.320833
132,53.292500,107.336111
133,53.292222,107.403333
134,53.310000,107.492222
135,53.341111,107.580000
136,53.443611,107.942500
137,53.420556,108.024444
138,53.416111,108.038056
139,53.411667,108.047222
140,53.405000,108.069444
141,53.403333,108.090278
142,53.395000,108.157222
143,53.468056,107.188611
144,53.442222,107.208333
145,53.420556,107.254167
146,53.414722,107.303333
147,53.414722,107.310556
148,53.418056,107.325000
149,53.425000,107.336111
150,53.425278,107.347500
151,53.428889,107.391944
152,53.433056,107.432500
153,53.440556,107.434167
154,53.450556,107.432500
155,53.459444,107.421667
156,53.473333,107.392222
157,53.483333,107.378611
158,53.503056,107.340278
159,53.504167,107.347222
160,53.515000,107.355833
161,53.518611,107.355833
162,53.519444,107.351111
163,53.518611,107.333889
164,53.528056,107.322500
165,53.531944,107.317778
166,53.537500,107.317500
167,53.541389,107.314167
168,53.551667,107.290833
169,53.568333,107.282500
170,53.570833,107.280278
171,53.571389,107.273333
172,53.570833,107.248611
173,53.566667,107.227222
174,53.560556,107.219444
175,53.548333,107.224722
176,53.539722,107.221667
177,53.533611,107.211389
178,53.523889,107.180556
179,53.517500,107.156667
180,53.500278,107.119444
181,53.782222,107.128333
182,53.823889,107.128333
183,53.830556,107.140556
184,53.835000,107.154722
185,53.843889,107.174444
186,53.843889,107.178333
187,53.851111,107.182500
188,53.855556,107.186389
189,53.856944,107.188333
190,53.862778,107.194722
191,53.870278,107.205000
192,53.873056,107.207500
193,53.875278,107.211944
194,53.881667,107.222222
195,53.894444,107.222500
196,53.905000,107.229167
197,53.922500,107.234167
198,53.938889,107.234722
199,53.955000,107.238056
200,53.966667,107.239444
201,53.981111,107.242500
202,54.004444,107.242500
203,54.014722,107.233611
204,54.022222,107.229722
205,54.028889,107.228333
206,54.029722,107.224167
207,54.030000,107.213889
208,54.030556,107.212500
209,54.033333,107.212500
210,54.041111,107.210833
211,54.054722,107.209722
212,54.065000,107.209722
213,54.081667,107.211944
214,54.099444,107.217500
215,54.107222,107.227500
216,54.115556,107.229722
217,54.148611,107.254167
218,54.365278,107.546111
219,54.365556,107.561944
220,54.385833,107.576111
221,54.391944,107.580278
222,54.394167,107.589722
223,54.400000,107.597222
224,54.406667,107.597778
225,54.408611,107.599722
226,54.408611,107.611389
227,54.409444,107.621944
228,54.412778,107.626111
229,54.414444,107.636667
230,54.416111,107.644722
231,54.422778,107.651667
232,54.422778,107.656111
